"","site_name","transect","species","family","size_cm","abundance","fg","fishing_ground","size_5cm_bin"
"111","Belanda Port",3,"cephalopholis cyanostigma","Serranidae",40,1,"Pisci-invertivore","tomia","40-45"
"112","Belanda Port",2,"heniochus chrysostomus","Chaetodontidae",14,1,"Micro-invertivore","tomia","10-15"
"113","Belanda Port",2,"heniochus varius","Chaetodontidae",16,1,"Micro-invertivore","tomia","15-20"
"114","Belanda Port",2,"melichthys vidua","Balistidae",20,1,"Planktivore","tomia","20-25"
"115","Belanda Port",2,"naso lituratus","Acanthuridae",24,1,"Browser","tomia","20-25"
"116","Belanda Port",2,"naso lituratus","Acanthuridae",24,1,"Browser","tomia","20-25"
"117","Belanda Port",2,"odonus niger","Balistidae",20,30,"Planktivore","tomia","20-25"
"118","Belanda Port",2,"oxycheilinus spp.","Labridae",24,1,"Pisci-invertivore","tomia","20-25"
"119","Belanda Port",2,"oxycheilinus unifasciatus","Labridae",40,1,"Pisci-invertivore","tomia","40-45"
"120","Belanda Port",2,"parupeneus barberinus","Mullidae",24,1,"Macro-invertivore","tomia","20-25"
"121","Belanda Port",3,"ctenochaetus binotatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"122","Belanda Port",3,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"123","Belanda Port",3,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"124","Belanda Port",2,"hemigymnus melapterus","Labridae",23,1,"Macro-invertivore","tomia","20-25"
"125","Belanda Port",3,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"126","Beropa",2,"scarus flavipectoralis","Scarini-Labridae",10,1,"Excavator/scraper","kaledupa","10-15"
"127","Beropa",2,"scarus spp.","Scarini-Labridae",12,1,"Excavator/scraper","kaledupa","10-15"
"128","Beropa",1,"parupeneus barberinus","Mullidae",22,1,"Macro-invertivore","kaledupa","20-25"
